ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Program Files\Fortinet\FortiClient\FortiTray.exe,2019-10-11 10:08:22,NA,False,Live Registry
1,1,C:\Program Files\7-Zip\7zFM.exe,2019-02-21 16:00:00,NA,False,Live Registry
1,2,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Blend.exe,2021-08-13 14:36:17,NA,False,Live Registry
1,3,C:\Users\john\Desktop\Everything\Forensics_tools\TimelineExplorer\TimelineExplorer.exe,2020-10-31 12:31:58,NA,False,Live Registry
1,4,C:\WINDOWS\SysWOW64\DllHost.exe,2021-07-22 07:50:36,NA,False,Live Registry
1,5,00000000	000f0049007c0000	000a000047ba0000	014c	Microsoft.SkypeApp	kzf8qxf38zg5c	,,NA,False,Live Registry
1,6,C:\Users\john\Desktop\Everything\Forensics_tools\ShimCache\AppCompatCacheParser\AppCompatCacheParser.exe,2021-06-15 15:36:46,NA,False,Live Registry
1,7,C:\Users\john\Downloads\AppCompatCacheParser\AppCompatCacheParser.exe,2021-06-15 15:36:46,NA,False,Live Registry
1,8,C:\Program Files\DB Browser for SQLite\DB Browser for SQLite.exe,2021-05-02 14:13:26,NA,False,Live Registry
1,9,C:\WINDOWS\system32\usoclient.exe,2021-07-22 07:50:11,NA,False,Live Registry
1,10,C:\Program Files (x86)\Microsoft Visual Studio\Installer.a7acbb152b684df09e14e00f72163dd1\setup.exe,2021-08-13 11:49:06,NA,False,Live Registry
1,11,C:\Users\john\AppData\Local\Temp\a7316c76cea74d3f8cbff3afb4b1e6b2\vs_setup_bootstrapper.exe,2021-08-13 11:48:37,NA,False,Live Registry
1,12,C:\program files (x86)\microsoft visual studio\installer\setup.exe,2021-08-13 11:49:06,NA,False,Live Registry
1,13,C:\WINDOWS\system32\SnippingTool.exe,2021-07-22 07:50:48,NA,False,Live Registry
1,14,C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe,2020-06-04 21:20:00,NA,False,Live Registry
1,15,C:\WINDOWS\SysWOW64\config\systemprofile\Citrix\UpdaterBinaries\299367f6-14c6-4d2e-a901-f077728165fe\CitrixReceiverUpdater.exe,2021-05-03 01:00:04,NA,False,Live Registry
1,16,C:\Users\john\AppData\Local\Programs\Microsoft VS Code\Code.exe,2021-08-04 20:38:32,NA,False,Live Registry
1,17,C:\Users\john\AppData\Local\Temp\5E29D528-E6EF-46B9-AC75-6837C7CEA213\dismhost.exe,2021-07-22 07:50:27,NA,False,Live Registry
1,18,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,2019-12-07 09:10:36,NA,False,Live Registry
1,19,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,2019-12-07 09:10:35,NA,False,Live Registry
1,20,C:\WINDOWS\system32\SystemSettingsAdminFlows.exe,2021-07-22 07:50:12,NA,False,Live Registry
1,21,C:\Program Files\Docker\Docker\Docker Desktop.exe,2020-02-21 08:43:43,NA,False,Live Registry
1,22,C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE,2021-08-12 17:02:37,NA,False,Live Registry
1,23,C:\Program Files\Microsoft Office\root\Office16\lync.exe,2021-08-12 17:02:29,NA,False,Live Registry
1,24,C:\WINDOWS\system32\dwwin.exe,2021-07-22 07:50:43,NA,False,Live Registry
1,25,C:\Users\john\AppData\Local\Temp\F5CFB01E-7ED6-4037-99BB-C097BCA873DC\dismhost.exe,2021-07-22 07:50:27,NA,False,Live Registry
1,26,C:\Program Files\Dell\DellDataVault\nvapiw.exe,2021-07-13 09:56:06,NA,False,Live Registry
1,27,C:\Program Files (x86)\CCleaner Browser\Application\92.0.11264.134\elevation_service.exe,2021-08-03 11:58:27,NA,False,Live Registry
1,28,C:\Program Files (x86)\Dropbox\Update\1.3.503.1\DropboxCrashHandler.exe,2021-08-13 07:59:19,NA,False,Live Registry
1,29,C:\WINDOWS\System32\wsqmcons.exe,2021-07-22 07:50:22,NA,False,Live Registry
1,30,C:\WINDOWS\system32\msfeedssync.exe,2019-12-07 09:09:39,NA,False,Live Registry
1,31,C:\Program Files (x86)\CCleaner Browser\Update\Install\{79CCCCA4-12EB-451F-8AE7-7AF33428AEF3}\CR_77348.tmp\setup.exe,2021-08-13 07:59:23,NA,False,Live Registry
1,32,C:\Program Files (x86)\CCleaner Browser\Update\Install\{79CCCCA4-12EB-451F-8AE7-7AF33428AEF3}\CCleanerBrowserInstaller.exe,2021-08-13 07:59:12,NA,False,Live Registry
1,33,C:\WINDOWS\TEMP\GUMA26D.tmp\DropboxUpdate.exe,2021-08-13 07:59:19,NA,False,Live Registry
1,34,C:\Program Files (x86)\Dropbox\Update\Install\{B83448C9-5D5E-437E-A783-91D098DC8C0E}\DropboxUpdateSetup_1.3.503.1.exe,2021-07-26 09:37:02,NA,False,Live Registry
1,35,C:\Windows\System32\wuapihost.exe,2019-12-07 09:08:33,NA,False,Live Registry
1,36,C:\Windows\System32\CompPkgSrv.exe,2021-07-22 07:49:55,NA,False,Live Registry
1,37,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\Updates\16.0.14228.20250\OfficeClickToRun.exe,2021-08-05 18:06:40,NA,False,Live Registry
1,38,C:\WINDOWS\system32\wbem\WmiApSrv.exe,2021-07-22 07:49:57,NA,False,Live Registry
1,39,00000009	0003083a37e30000	000a00004a610000	8664	Microsoft.549981C3F5F10	8wekyb3d8bbwe	,,NA,False,Live Registry
1,40,C:\Program Files (x86)\Notepad++\notepad++.exe,2019-10-27 22:11:38,NA,False,Live Registry
1,41,C:\MinGW\bin\msgfilter.exe,2014-04-30 12:33:50,NA,False,Live Registry
1,42,C:\MinGW\bin\msgexec.exe,2014-04-30 12:33:50,NA,False,Live Registry
1,43,C:\MinGW\bin\msgen.exe,2014-04-30 12:33:50,NA,False,Live Registry
1,44,C:\MinGW\bin\msgconv.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,45,C:\MinGW\bin\msgcomm.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,46,C:\MinGW\bin\msgcmp.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,47,C:\MinGW\bin\msgcat.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,48,C:\MinGW\bin\msgattrib.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,49,C:\MinGW\bin\msgunfmt.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,50,C:\MinGW\bin\mingw-get.exe,2017-09-05 15:05:15,NA,False,Live Registry
